ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,139.04277234,510811.80565425
202202,3647923.56079389,0.00314526,104.02293198,126.20264845,510056.31692719
202203,3662678.00423128,0.00315543,104.19138319,110.23408246,509300.82820013
202204,3677432.44766867,0.0031656,104.36221861,118.64773296,508545.33947307
202205,3692186.89110606,0.00317577,104.51521816,131.30084208,507789.85074601
202206,3706941.33454346,0.00318593,104.58789579,137.45613097,507034.36201894
202207,3721695.77798085,0.0031961,104.69300972,134.22051768,506278.87329188
202208,3736450.22141824,0.00320627,104.8077501,125.3696741,505523.38456482
202209,3751204.66485563,0.00321644,104.94854305,118.42870091,504767.89583776
202210,3765959.10829302,0.00322661,105.06352354,116.55381258,504012.4071107
202211,3780713.55173041,0.00323677,105.17947214,118.48795716,503256.91838364
202212,3795467.9951678,0.00324694,105.28809655,120.54456322,502501.42965658
202301,3810222.4386052,0.00325711,105.41068472,120.1675269,501745.94092952
202302,3824976.88204259,0.00326728,105.52884722,117.38387491,500990.45220246
202303,3839731.32547998,0.00327745,105.64946696,113.93819272,500234.9634754
202304,3854485.76891737,0.00328761,105.76378368,111.49078939,499479.47474834
202305,3869240.21235476,0.00329778,105.8820024,110.44185914,498723.98602128
202306,3883994.65579215,0.00330795,105.99876564,110.05609999,497968.49729421
202307,3898749.09922954,0.00331812,106.11817208,109.35884117,497213.00856715
202308,3913503.54266694,0.00332829,106.23511571,107.91594496,496457.51984009
202309,3928257.98610433,0.00333845,106.3531693,105.97098535,495702.03111303
202310,3943012.42954172,0.00334862,106.47007001,104.04996908,494946.54238597
202311,3957766.87297911,0.00335879,106.58829685,102.49105766,494191.05365891
202312,3972521.3164165,0.00336896,106.70573514,101.2619878,493435.56493185
202401,3987275.75985389,0.00337913,106.82374735,100.10348302,492680.07620479
202402,4002030.20329128,0.00338929,106.94109656,98.78956565,491924.58747773
202403,4016784.64672868,0.00339946,107.05894329,97.27946012,491169.09875067
202404,4031539.09016607,0.00340963,107.17646513,95.68687315,490413.61002361
202405,4046293.53360346,0.0034198,107.29431473,94.14801206,489658.12129655
202406,4061047.97704085,0.00342997,107.41187816,92.71621729,488902.63256948
202407,4075802.42047824,0.00344013,107.52963554,91.35043863,488147.14384242
202408,4090556.86391563,0.0034503,107.6472253,89.97541087,487391.65511536
202409,4105311.30735302,0.00346047,107.76497053,88.54694353,486636.1663883
202410,4120065.75079042,0.00347064,107.88260089,87.07365749,485880.67766124
202411,4134820.19422781,0.0034808,108.0003213,85.5936464,485125.18893418
202412,4149574.6376652,0.00349097,108.11795929,84.13748866,484369.70020712
202501,4164329.08110259,0.00350114,108.23566328,82.70866893,483614.21148006
202502,4179083.52453998,0.00351131,108.35331708,81.28985823,482858.722753
202503,4193837.96797737,0.00352148,108.4710146,79.86214246,482103.23402594
202504,4208592.41141476,0.00353164,108.58867531,78.41915475,481347.74529888
202505,4223346.85485215,0.00354181,108.70636439,76.96758931,480592.25657182
202506,4238101.29828955,0.00355198,108.82402993,75.51814477,479836.76784475
202507,4252855.74172694,0.00356215,108.94171562,74.07652214,479081.27911769
202508,4267610.18516433,0.00357232,109.05938531,72.64094134,478325.79039063
202509,4282364.62860172,0.00358248,109.1770679,71.20584962,477570.30166357
202510,4297119.07203911,0.00359265,109.29473953,69.76714338,476814.81293651
202511,4311873.5154765,0.00360282,109.41242009,68.32465262,476059.32420945
202512,4326627.95891389,0.00361299,109.53009352,66.88098734,475303.83548239
202601,4341382.40235128,0.00362316,109.6477729,65.43875652,474548.34675533
202602,4356136.84578867,0.00363332,109.76544735,63.99869001,473792.85802827
202603,4370891.28922606,0.00364349,109.88312577,62.55972259,473037.36930121
202604,4385645.73266346,0.00365366,110.00080092,61.12034327,472281.88057415
202605,4400400.17610085,0.00366383,110.11847879,59.67982777,471526.39184709
202606,4415154.61953824,0.003674,110.23615446,58.23850479,470770.90312002
202607,4429909.06297563,0.00368416,110.35383192,56.79717782,470015.41439296
202608,4444663.50641302,0.00369433,110.47150789,55.35639254,469259.9256659
202609,4459417.94985041,0.0037045,110.58918508,53.91612763,468504.43693884
202610,4474172.3932878,0.00371467,110.70686128,52.475994,467748.94821178
202611,4488926.83672519,0.00372484,110.82453829,51.03563427,466993.45948472
202612,4503681.28016258,0.003735,110.94221464,49.59496978,466237.97075766
